INFO:root:HPE 2024-09-17 13693000 70663200 70763400 41961200 19822600
INFO:root:HPQ 2020-02-27 13283600 20458200 16987100 21989400 44019200
INFO:root:HPQ 2020-05-01 11357300 11254600 11356200 15964400 18232300
INFO:root:HPQ 2020-06-03 9027300 15044600 50083800 29035900 19564600
INFO:root:HPQ 2022-04-07 12195600 27041100 20832400 18454100 10609500
INFO:root:HSIC 2023-02-16 538100 773900 722200 1148700 1033700
INFO:root:HUBB 2022-10-19 738661 463518 874070 524859 488648
INFO:root:HUBB 2022-10-25 488648 537280 973106 917584 943778
INFO:root:HUM 2024-10-08 1520600 7056500 19640500 5396800 3607800
INFO:root:HWM 2020-06-09 2301800 2832100 2698800 4154000 4226600
INFO:root:HWM 2024-08-05 2903000 3834900 7825600 4050600 3140500
INFO:root:IBM 2020-04-15 7357773 5852684 5395896 5832705 5355206
INFO:root:IBM 2020-06-11 4097914 4042581 6163764 5617543 5641706
INFO:root:ICE 2023-08-04 2237700 1630500 1939000 1995400 2017500
INFO:root:IEX 2020-04-17 571600 573000 470200 537700 451700
INFO:root:INTC 2022-09-13 34893300 46989600 37329500 37359500 34069500
INFO:root:INTC 2024-04-03 47276500 39109700 51017800 54204200 31712600
INFO:root:INTU 2024-11-21 1472300 1769600 1798900 1580300 2536000
INFO:root:INVH 2023-11-02 3324800 7448500 3665000 4295600 2888800
INFO:root:IP 2020-04-30 3282998 3561994 4409434 4460438 9436944
INFO:root:IPG 2020-05-01 7058800 5158400 4787500 6053100 7633300
INFO:root:IPG 2020-05-18 4653200 3256900 2316500 5284700 7564100
INFO:root:IPG 2022-02-10 3184800 3309300 3172100 2966300 3313200
INFO:root:IPG 2023-05-05 6374900 4476200 3875500 6935400 7313700
INFO:root:IQV 2020-04-21 1980800 1415000 1327500 973300 1486300
INFO:root:IQV 2024-04-10 997500 880200 939800 556600 495400
INFO:root:IR 2020-05-18 1869500 2878100 5602100 4952200 3223900
INFO:root:IR 2020-06-11 3020200 3246100 6281700 6190800 3333300
INFO:root:IR 2023-03-21 3391100 3038700 4200900 4558200 4162300
INFO:root:IR 2024-02-20 4011700 1683500 2129400 2309800 2854600
INFO:root:ISRG 2022-12-15 1195600 1431600 2102900 1887600 2938200
INFO:root:IT 2020-11-02 203300 346700 277500 517600 265300
INFO:root:IVZ 2020-09-28 11346000 7655200 5768000 14300400 20999600
INFO:root:IVZ 2021-09-20 2609100 3251100 4476700 3466700 5625200
INFO:root:IVZ 2021-12-21 6657600 3333700 3424700 4816800 6928900
INFO:root:IVZ 2024-01-22 4955600 4758600 8378700 4196100 3933000
INFO:root:J 2020-03-24 2257781 2732990 2111867 2017783 2642138
INFO:root:J 2020-06-16 1058986 772544 984772 1593087 1282825
INFO:root:JBHT 2020-06-11 979100 898300 1018200 614200 635400
